,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
0,0,Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,2000-2001,30.0,60.0,F
1,1,Hernán Crespo,Centre-Forward,25,Parma,Serie A,Lazio,Serie A,2000-2001,28.405,56.81,F
2,2,Marc Overmars,Left Winger,27,Arsenal,Premier League,FC Barcelona,LaLiga,2000-2001,20.0,40.0,F
3,3,Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,AS Roma,Serie A,2000-2001,18.075,36.15,F
4,4,Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,Ligue 1,2000-2001,17.25,34.5,F
5,5,Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,2000-2001,13.0,26.0,D
6,6,Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,2000-2001,12.5,25.0,M
7,7,Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Parma,Serie A,2000-2001,12.5,25.0,F
8,8,David Trézéguet,Centre-Forward,22,Monaco,Ligue 1,Juventus,Serie A,2000-2001,11.62,23.24,F
9,9,Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Lazio,Serie A,2000-2001,11.5,23.0,F
10,10,Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,2000-2001,11.25,22.5,F
11,11,Gerard López,Central Midfield,21,Valencia CF,LaLiga,FC Barcelona,LaLiga,2000-2001,10.8,21.6,M
12,12,Lucas,Centre-Forward,21,Atlético-PR, Brazil,Stade Rennais,Ligue 1,2000-2001,10.65,21.3,F
13,13,Pablo Aimar,Attacking Midfield,21,River Plate, Argentina,Valencia CF,LaLiga,2000-2001,10.625,21.25,M
14,14,Wálter Samuel,Centre-Back,22,Boca Juniors, Argentina,AS Roma,Serie A,2000-2001,10.4,20.8,D
15,15,Shabani Nonda,Centre-Forward,23,Stade Rennais,Ligue 1,Monaco,Ligue 1,2000-2001,10.0,20.0,F
16,16,Robbie Keane,Centre-Forward,19,Coventry City,Premier League,Inter,Serie A,2000-2001,9.75,19.5,F
17,17,José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,AC Milan,Serie A,2000-2001,9.5,19.0,F
18,18,Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Serie B,AS Roma,Serie A,2000-2001,9.2,18.4,D
19,19,Émerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,2000-2001,9.0,18.0,M
