,Unnamed: 0,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee,Position_general
0,0,Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,1,30.0,60.0,1
1,1,Hernán Crespo,Centre-Forward,25,Parma,Italy Serie A,Lazio,Italy Serie A,1,28.405,56.81,1
2,2,Marc Overmars,Left Winger,27,Arsenal,Premier League,FC Barcelona,LaLiga,1,20.0,40.0,1
3,3,Gabriel Batistuta,Centre-Forward,31,Fiorentina,Italy Serie A,AS Roma,Italy Serie A,1,18.075,36.15,1
4,4,Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Paris SG,French Ligue 1,1,17.25,34.5,1
5,5,Rio Ferdinand,Centre-Back,22,West Ham,Premier League,Leeds,Premier League,1,13.0,26.0,3
6,6,Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,1,12.5,25.0,2
7,7,Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Parma,Italy Serie A,1,12.5,25.0,1
8,8,David Trézéguet,Centre-Forward,22,Monaco,French Ligue 1,Juventus,Italy Serie A,1,11.62,23.24,1
9,9,Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Lazio,Italy Serie A,1,11.5,23.0,1
10,10,Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,1,11.25,22.5,1
11,11,Gerard López,Central Midfield,21,Valencia CF,LaLiga,FC Barcelona,LaLiga,1,10.8,21.6,2
12,12,Lucas,Centre-Forward,21,Atlético-PR,Brazil,Stade Rennais,French Ligue 1,1,10.65,21.3,1
13,13,Pablo Aimar,Attacking Midfield,21,River Plate,Argentina,Valencia CF,LaLiga,1,10.625,21.25,2
14,14,Wálter Samuel,Centre-Back,22,Boca Juniors,Argentina,AS Roma,Italy Serie A,1,10.4,20.8,3
15,15,Shabani Nonda,Centre-Forward,23,Stade Rennais,French Ligue 1,Monaco,French Ligue 1,1,10.0,20.0,1
16,16,Robbie Keane,Centre-Forward,19,Coventry City,Premier League,Inter,Italy Serie A,1,9.75,19.5,1
17,17,José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,AC Milan,Italy Serie A,1,9.5,19.0,1
18,18,Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Italy Serie B,AS Roma,Italy Serie A,1,9.2,18.4,3
19,19,Émerson,Defensive Midfield,24,Bay. Leverkusen,German Bundesliga,AS Roma,Italy Serie A,1,9.0,18.0,2
20,20,Tore André Flo,Centre-Forward,27,Chelsea,Premier League,Rangers,Scottish Premiership,1,9.0,18.0,1
21,21,Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier League,Spurs,Premier League,1,9.0,18.0,1
22,22,Angelo Peruzzi,Goalkeeper,30,Inter,Italy Serie A,Lazio,Italy Serie A,1,8.95,17.9,4
23,23,Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,1,8.875,17.75,1
24,24,Sylvain Wiltord,Second Striker,26,G. Bordeaux,French Ligue 1,Arsenal,Premier League,1,8.75,17.5,1
25,25,Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,AC Milan,Italy Serie A,1,8.75,17.5,2
26,26,Jardel,Centre-Forward,26,FC Porto,LaLiga,Galatasaray,Turkish Super Lig,1,8.525,17.05,1
27,27,Nuno Gomes,Centre-Forward,24,Benfica,LaLiga,Fiorentina,Italy Serie A,1,8.5,17.0,1
28,28,Sérgio Conceição,Right Winger,25,Lazio,Italy Serie A,Parma,Italy Serie A,1,8.5,17.0,1
